filename,publisher,raw_count,total,ag_share
allafrica_2024.csv,foroyaa newspaper (serrekunda),3,3,1.0
allafrica_2024.csv,frontpageafrica (monrovia),5,7,0.714
allafrica_2024.csv,ghanaian times (accra),10,12,0.833
allafrica_2024.csv,ghanatoday (accra),1,1,1.0
allafrica_2024.csv,"global press journal (washington, dc)",6,7,0.857
allafrica_2024.csv,government of mauritius (port louis),1,1,1.0
allafrica_2024.csv,government of uganda,1,1,1.0
allafrica_2024.csv,graça machel trust (johannesburg),1,1,1.0
allafrica_2024.csv,"human rights watch (washington, dc)",3,3,1.0
allafrica_2024.csv,inter press service,7,7,1.0
allafrica_2024.csv,international crisis group,2,2,1.0
allafrica_2024.csv,international federation of red cross and red crescent societies,1,1,1.0
allafrica_2024.csv,international fund for agricultural development (rome),1,1,1.0
allafrica_2024.csv,islamic relief (cape town),1,1,1.0
allafrica_2024.csv,justiceinfo.net (lausanne),3,3,1.0
allafrica_2024.csv,leadership (abuja),29,34,0.853
allafrica_2024.csv,liberian observer (monrovia),18,18,1.0
allafrica_2024.csv,medecins sans frontieres (geneva),2,5,0.4
allafrica_2024.csv,new zimbabwe (london),8,8,1.0
allafrica_2024.csv,nigeria health watch (abuja),4,4,1.0
allafrica_2024.csv,nile post (kampala),38,56,0.679
allafrica_2024.csv,norwegian refugee council (oslo),1,1,1.0
allafrica_2024.csv,nyasa times (leeds),2,5,0.4
allafrica_2024.csv,oxfam international (oxford),1,1,1.0
allafrica_2024.csv,parliament of south africa (cape town),0,2,0.0
allafrica_2024.csv,people's dispatch (johannesburg),2,2,1.0
allafrica_2024.csv,premium times (abuja),67,84,0.798
allafrica_2024.csv,radio france internationale,0,2,0.0
allafrica_2024.csv,sanews.gov.za (tshwane),1,2,0.5
allafrica_2024.csv,scidev.net,1,1,1.0
allafrica_2024.csv,spotlight initiative (new york),1,1,1.0
allafrica_2024.csv,sudan news agency (khartoum),1,1,1.0
allafrica_2024.csv,tanzania daily news (dar es salaam),8,9,0.889
allafrica_2024.csv,the accra times (accra),3,3,1.0
allafrica_2024.csv,the conversation africa (johannesburg),18,21,0.857
allafrica_2024.csv,the ethiopian herald (addis ababa),14,14,1.0
allafrica_2024.csv,the herald (harare),50,59,0.847
allafrica_2024.csv,the independent (kampala),11,12,0.917
allafrica_2024.csv,the liberian investigator (monrovia),1,2,0.5
allafrica_2024.csv,the namibian (windhoek),4,5,0.8
allafrica_2024.csv,the new dawn (monrovia),12,12,1.0
