Crops,Original_Search_Title,Link,Headline,Date,Publisher,Publisher_URL,Source_URL,Body_Text
cassava,Rwanda Peacekeepers in Haiti Donate to Orphans,https://allafrica.com/stories/201312270350.html,Rwanda Peacekeepers in Haiti Donate to Orphans,27 December 2013,The New Times (Kigali),http://www.newtimes.co.rw/,http://www.newtimes.co.rw/news/index.php?i=15584&a=73248,"The Rwanda police peacekeeping contingent in Haiti on Christmas Eve donated an assortment of foodstuff to orphans at Perpetuel Secours orphanage Centre in Jeremie, in their area of operation.
The forces, who are part of the Formed Police Unit serving under the United Nations Stabilisation for Haiti, donated to the orphans groceries including rice, soap, cooking oil, playing balls, eggs, sugar, beans, cassava flour, salt and water.
According to a Police statement, the assorted groceries were bought out of the financial contribution of each of the Rwanda police officers serving in the Caribbean nation.
CSP Peter Hodari, the contingent commander, handed over the commodities, which were received by Eliane Mosi Moussignac, the founder of the orphanage.
Mosi expressed gratitude for the RWAPFU's outreach adding that ""it will enable these vulnerable children to have special celebration on Christmas Day and New Year.""
The centre, established in 2006, is home to about 400 orphans.
It was created to help vulnerable children, especially orphans, to acquire basic necessities like shelter and free education.
Hodari said the reason for the donation was aimed at sharing ""Christmas with the vulnerable children.""
""We saw a need, and as it's a norm among Rwandans, we reached out to help and give these children hope and joy and celebrate with them this festive season,"" CSP Hodari said.
The ceremony was also attended by the Rwandan peacekeepers in Haiti.
CSP Hodari urged officers to maintain this voluntary culture of humanitarian activities as dignified Rwandans.
""The role played by the Rwandan peacekeepers in Haiti goes beyond its mandate of helping Haitian National Police to ensure the safety of the people, but also to support people's welfare, enhance development through maintaining infrastructure and environmental protection,"" reads a Police statement."
cassava,Police Arrest Nine for Adulterating Palm Wine With Cassava,https://allafrica.com/stories/201312270454.html,Nigeria: Police Arrest Nine for Adulterating Palm Wine With Cassava,25 December 2013,Leadership (Abuja),http://www.leadership.ng/,http://leadership.ng/news/251213/police-arrest-9-adulterating-palm-wine-cassava,"At least nine persons said to have been making brisk money by mixing palm wine with cassava have been arrested by the ambush squad of the Imo State police command.
Parading the suspects yesterday, the state commissioner of police, Muhammad Katsina, told journalist that the suspects were arrested after a tip-off by some of the people in that area.
""This people have been giving dangerous substances to innocent masses to consume. They mix the fermented cassava with saccharine and other sweet flavours and sell them in the market, "" Katsina said.
All nine suspects were said to be natives of Ata in Ikeduru local government area of Imo State. They include Mrs Aita
Okereke, Mrs Ngozi Agi, Mrs Eke Gift, Mrs Queeneth Omeka, Mr Charles Eke, Mr Oliver Agim, Mr Ugochukwu Obed, Mr Ikechukwu Omeka and Mr Timothy Okereke.
President of Ata Patriots, Mr Lambert Nnorom, said that when the reports of the hazards of the fake palm wine production in Ata community became unbearable, his association invited the police to nab the suspects."
cassava;yam,Massive Seizures of Rice in Oyo,https://allafrica.com/stories/201312230744.html,Nigeria: Massive Seizures of Rice in Oyo,22 December 2013,Vanguard (Lagos),http://www.vanguardngr.com/,http://www.vanguardngr.com/2013/12/massive-seizures-rice-oyo/,"As the festive period approaches the Oyo/Osun Customs Command of Nigeria Customs Service, NCS, has been recording massive seizures of rice in its daily operations. When Sunday Vanguard visited the Command, it was observed that its ware house was filled to the brim with seizures, mostly rice.
While some bags of rice were seen in the open space, others were inside long trucks with which the stocks were intercepted, even as more seizures of rice were being brought into the premises. The Customs Area Controller (CAC) of the Command, DC Oteri Richard, speaks on the strategies mapped out by his team to tackle the menace.
Few months after the interception of 56,750 rounds of live ammunition, your Command is in the news again for massive seizures of rice. What strategies did you use to achieve this?
To start with, we can not reveal our operational strategies but the reality is that our work currently is intelligence driven, which is made possible through the initiative of the Comptroller General of Customs Dikko Inde. We are determined to reduce incidence of smuggling to the barest minimum, as the current management has provided us with the wherewithal to accomplish this task.
This is the season of rice and we have already renewed our strategy to tackle the menace in rice smuggling and to stamp out smuggling of other contra-band items in the Command, while urging genuine importers and exporters to engage in legitimate trades capable of promoting economic growth and development, rather than sabotaging government's efforts in growing local industries.
For instance, within this period we recorded over 11,175(50kg bags) seizures of rice with the Duty Paid Value (DPV) of over N123.4million and more seizures of rice are still coming into the Command.
Also, before now within just one month, we recorded seizures of 2,716 bags of rice, with DPV of N30.7million concealed with charcoal in a long truck to escape security checks.
Before now, Oyo/Osun was not known for recording massive seizures. What measures did you put in place to revive the Command?
Administratively, the execution of anti-smuggling activities in the Command has eight outposts, which include Odo, Orita, Eruwa, Saki, Igbeti, Iseyin, Igbojaiye and Igbokoko. In view of the porous nature of the borders, these outposts are policed with effective security surveillance and patrols by eight teams namely Team A-G and the Crack Squad.
Aside from this, other officers are strategically located within the operational ambience to block all loopholes within the Command. This has impacted positively in our operations in 2013, in terms of revenue generation and seizures.
For example, from January to November 2013, we realised over N13.8billion revenue, as against N11.1billion generated the same period in 2012, showing 28 per cent increase of the revenue collection of last year with N2.7billion difference.
The Command also recorded outstanding performance in duty payment on imported vehicles. As a result of the aggressive enlightenment campaign, a total of 1,556 vehicles paid duty of N154.2million in 2013, as against 1000 vehicles that paid duty of N74.5million in 2012. This shows that 556 more vehicles paid duty in 2013, with a huge difference of N79.5million over 2012, which is 51 per cent increase against last year.
Can you give us details of your enforcement activities in the Command?
Our new enforcement strategy has paid off greatly with a total of 252 seizures and DPV of N536.6million. Most remarkable of these seizures include, 56.750 pieces of live cartridges and the ford bus with registration number XD577GWA used as means of conveyance was arrested along Igboho road in Saki axis of the Command, and the ammunitions were handed over to the police.
Other seizures include 40ft container load of rice concealed with charcoal, refrigerated truck loaded with 300bags of rice, two truck-loads concealed with bags of groundnut shells, saw dusts, yam flours and bags of dried cassava tubers. Others were 36,444 cartons of frozen products with a DPV of N218.2million, 209 assorted vehicles were also intercepted between the months of January to November 2013, with DPV of N118.6million.
How many suspects did your Command arrest?
We made several arrests and it is pertinent to mention that the Command also arrested suspects with fake documents for smuggled vehicles within the same period. Investigation into this case is still on-going to uncover the syndicate specialised in forging Customs documents. This will help in reducing the incidence of smuggling imported vehicles and other forms of economic sabotage within the Command.
What is your expectation for 2014?
The Command is poised in its resolve to continue building on the achievements so far made in the areas of revenue generation, anti-smuggling feats and policing the borders. This is expedient especially now that the current management has made the Service a place of pride and a force to reckon with in modern day customs world"
cassava,Taking Time to Remember My Granddad,https://allafrica.com/stories/201312230120.html,Tanzania: Taking Time to Remember My Granddad,22 December 2013,Tanzania Daily News (Dar es Salaam),http://dailynews.co.tz/,http://dailynews.co.tz/index.php/9-uncategorised/26114-taking-time-to-remember-my-granddad?tmpl=component&print=1&layout=default,"What's your biggest fear? Being broke? Being left for someone else by your loved one? Being chased by blood thirsty maniacs or wild animals? I am sure all the things I have just mentioned are mighty scary but in my books what tops my list is a 'loved' one passing away without ever really knowing them and because of that you find yourself failing to shed a tear or feeling remorseful and at a loss.
This article together with a couple of others that I have previously written may appear boring but if you are someone concerned with the way of the world today, you will understand the importance of love and its need today.
I started out wanting to be a writer so that I could write better love letters to the ones that I wrote in school but over the years I am more concerned about making a difference.
This weekend I want to share with you something very personal and an experience that I hope someone out there can learn a thing or two and brighten their lives. This is a little story about my late grandfather and me and how because of geography among other reasons contributed to my not knowing him in the true sense of the word.
My granddad used to live in Tabora and the only times I got to see him was during holidays where I would trek down there for a couple of weeks and be whisked away home just when the holidays were starting to get interesting. For a bigger part of my childhood I could say that I never knew Mzee Rajab as he was known by many but God works in mysterious ways and I guess He always had something up His sleeve.
They say in times of tragedy, not everything is tragic (that's something I have made up). My grandfather towards the early 90s developed health complications and would often have to come over to Dar es Salaam. It was during these times that I got my opportunity to get close to him and would sit down and talk for hours on end.
It so happened that him and I had a lot to talk about and with time I ever gathered the guts to ask him about the choice of my name. You see back then, when a child was born in the family, the name had to come from him and mark my words he had a string of them.
When I was younger MASEMBE always troubled me, too rare and I asked him if I could change it. He actually agreed but KASSIM couldn't stick, so I dropped it. In the mid 90s his health took a turn for the worst and I spelt more time with him.
I remember, very fondly, the times he would refuse to have lunch without my being there, we shared a passion for ugali made out of cassava flour and dagaa cooked in palm oil and I would have to be called. I recall also our conversations about the past and future.
On February 22, 1996 he passed away and because I was in school in Uganda, I wasn't able to go and bury him but I cried my eyes out. Why? Because I got to know him and I spent really memorable times with him. I often wonder, with a cold sweat breaking on my back, how I would have felt if I hadn't known him. Has that ever crossed your mind?
I think it should. Looking at how we live today, I honestly can foresee instances where someone loses their father, mother, brother, sister, grandparents and isn't able to shed a tear or feel any sort of loss because they were never close or just too busy chasing the so called Bongo Dream - Smartphones, houses in Kigamboni, a few GX100s and lifestyles that leave Dennis Rodman looking like bystander.
I foresee our fathers and mothers being holed up in hotels and guesthouses when they visit us because spouses see them as being too handful and denying the kids from their knowing their grannies.
In every sense of the word, this is a gruesome picture and we better act now before it becomes too much of a reality. Everywhere you go today you hear about networking, well let's start networking with love with our loved ones first, charity after all begins at home. Stay blessed!"
cassava,Lack of Political Will Bane of Niger Delta Degradation - Scientist,https://allafrica.com/stories/201312191360.html,Nigeria: Lack of Political Will Bane of Niger Delta Degradation - Scientist,19 December 2013,Premium Times (Abuja),http://premiumtimesng.com/,http://premiumtimesng.com/news/151730-lack-political-will-bane-niger-delta-degradation-scientist.html,"A Professor of Environmental Engineering & Science, Hilary Inyang, has said that resolving the Niger Delta problems and other environmental challenges was possible with sincere commitment by the government.
Mr. Inyang, who is the latest recipient of the Nigerian National Order of Merit Award for Environmental Science and Technology for 2013, blamed successive administrations in the country for demonstrating a lack of political will and sincerity of purpose to tackle the Niger Delta problems.
Mr. Inyang, who is the incumbent Vice-Chancellor, Botswana International University of Science and Technology, BIUST, was one of ten environmental scientists honoured by the United States government for their technical contributions to science development in the country.
Currently the Chairman of the Africa Science Plans, a distinguished council of experts mandated to implement an agenda for Africa's development through science and technology, Mr. Inyang was honoured with the award in recognition of his contributions to the development of contaminant containment emission models and systems for reducing environmental and human risks in Nigeria and worldwide using starch from cassava in dust control.
Mr. Inyang, who spoke in an exclusive interview with PREMIUM TIMES in Abuja shortly after the award, said the situation in the Niger Delta was not beyond the massive environmental devastations in Siberia, where, he said, he was able to help develop systems to control the oil spillages.
""Don't allow anyone deceive you that there are no solutions,"" he said. ""The Niger Delta problem is not intractable. We have solutions for those issues. We have developed those systems for others, but nobody in Nigeria is serious enough to engage us at the level that is needed to address these problems. Nigeria is not the only country that has crude oil. We have the capacity to do the same in Nigeria.""
Recalling how he helped the Federal Government establish the National Oil Spill Detection and Response Agency, NOSDRA, Mr. Inyang said he worked with the then Obasanjo administration in 1999 to develop the fundamental documents that later metamorphosed into an Act of the National Assembly.
He said he also wrote the country's oil spill management manual with the support of the United Nations Development Programme, UNDP, to tackle the problem.
""If Obasanjo had listened to my suggestion several years ago, by now the problem of the Niger Delta could have been solved permanently,"" the former Vice Chancellor, African University of Science and Technology, AUST, Abuja, said.
""I engaged the Obasanjo administration on the proposal for the Nigerian National Oil Spill Control mechanism, the technical requirements that would deal with the oil spill problem in the Niger Delta. Unfortunately, Obasanjo kept it till he left office a few months after.""
Though he said the Ministry of Niger Delta Affairs had invited him to review the proposal, nothing else has since happened, despite also compiling and submitting a catalogue of about 500 oil spills impacted sites in the region.
Again, he said despite devising a means for screening some of the most dangerously impacted sites, developed the cost and parameters, the concentrations that should be reduced as well as the work plan for each of sites, the Federal Government has continued to sit on their implementation.
He identified the level of science and technology development as the factors that make the difference between countries, pointing out that developing National Development Plans and strategic visions are all a farce for any country without the technological engine to drive the economy.
To address the situation, the environmental engineering expert said that countries' development was defined by their regulations, policies, technical guidance systems, market incentives for private sector to do well and enforcement, without which, he said, there would be mayhem.
He said he decided to leave the United States, where he established himself, to Botswana to help build science and technology systems in the country, pointing out that his vision was to extend that across southern Africa as a base for changing Africa.
""I am determined to do that (build science and technology systems in Africa),"" he said. ""I am going to take as many as 200 people from Nigeria. My team is coming to Nigeria to hold meetings with the Petroleum Trust Development Fund, PTDF; Ministry of Foreign Affairs and others, to try to help Nigeria.""
On his days at AUST, he accused top officials of the Nigerian government of interfering in his role in the institution, saying AUST was not prepared to take what he is currently doing in Botswana.
""I have found an enabling circumstance in Botswana. That is why I am there to do what I have to do for some time. I am on a mission to change the developing world. It affects me when I read about the fact that I cannot do in my country what others are begging me to do in their country,"" he said."
cassava,TNT Scribes Win Media Awards,https://allafrica.com/stories/201312140421.html,Rwanda: TNT Scribes Win Media Awards,14 December 2013,The New Times (Kigali),http://www.newtimes.co.rw/,http://www.newtimes.co.rw/news/index.php?i=15571&a=72913,"Three New Times' journalists are among the winners of this year's Rwanda Journalism Development Awards. TNT's Edwin Musoni, Frank Kanyesigye and Doreen Umutesi scooped awards in hard news and features categories. The Awards ceremony, held on Thursday night at Kigali Serena Hotel, the second of its kind in the country, aimed at celebrating the best of Rwanda's journalism.
Some of the judges at the awards ceremony.
Long time freelance journalist Marie Louise Uwizeyimana scooped the journalist of the year award in the competition that attracted 203 entries. The New Times swept the Hard news category with Frank Kanyesigye and Edwin Musoni coming second and third, respectively.
Frank Kanyesigye (R) receives his News coverage award.
Doreen Umutesi, a Features writer with The New Times, was recognised in the features category where she emerged second runner-up.
New Times winners pose in a group photo with colleagues.
Fred Muvunyi ans Samuel Ngendahimana of Izuba Rirashe, a sister paper to The New Times, were also recognised. Veteran photojournalist George Baryamwisaki, emerged best photojournalist of the year. The photo of a businesswoman riding a bicycle with cassava for sale on the carrier and a child on her back won him the award.
Samuel Ngendahima of Izuba Rirashe poses with his plaque.
Emmanuel Munyarukumbuzi, from Rwanda Television, emerged the first runner-up in the best documentary category. His documentary was about a female veterinary Doctor who has been treating gorillas for more than 20 years.
The CEO of Rwanda Governance Board, Prof. Anastase Shyaka , gives his remarks.
He was also awarded for a story he did about Africa's youngest billionaire Ashish Thakkar.
Justice minister Johnstone Busingye gives an award for best investigative story to Magnus Mazimpaka
The winners received awards and cash. Now in its 2nd year, the Awards are supported by Rwanda Governance Board, One UN and Rwanda Journalists Association.
Charles Onyango Obbo of NMG gives a plaque to Edwin Musoni of The New Times."
banana;cassava;sweet potato,Restaurant Review - Exquisite Delights At Jahazi Coffee House,https://allafrica.com/stories/201312130306.html,Kenya: Restaurant Review - Exquisite Delights At Jahazi Coffee House,12 December 2013,The Star (Nairobi),http://www.the-star.co.ke/,http://www.the-star.co.ke/news/article-147056/restaurant-review-exquisite-delights-jahazi-coffee-house,"The walk through Mombasa's old town is one that - no pun intended- never gets old. The history is literally written on the walls through its mesmerising architecture. Old town Mombasa is home to many historical sites as is the township itself. These include the old port, the old fort and the fish market. With heavy Arab influence who reigned until the mid-sixties, the town is one archeological wonder. Rows of old houses stand side by side, their aged stone walls recently repainted, heavy oak ornamented doors, and wooden balconies that seem to be hanging by a thread.
This is why Jahazi Coffee House fits in perfectly in this neighbourhood. Located on the ground floor of a three-storey renovated ancient Swahili house, is a gem of a café. True to its name, the coffee shop is decorated only in local Swahili furnishings. The coffee shop is a two-roomed Swahili house that has been renovated to serve this purpose. The first room, probably the sitting room back in the day, is a large open space that has the most spectacular setting serves as the first sitting space. The floors are covered by reed mats or mkeka, the antique peacock tables are paired with threaded wooden chairs.
The use of antique furniture makes this place so exquisite. The second room is a typical Arab setting. Several mismatched hand-made carpets cover the floor and multi-coloured cushions set around the room. Authentic Zanzibar chests are strategically placed around the room to add that traditional feel. The use of screens on lamps dims the harsh light and fosters a cool, dark setting even during the most humid times. The atmosphere is just so relaxing that those who opt to sit on the cushions or carpets just stretch themselves out comfortably.
The menu is simple and spot on. The snacks section is made up of the local packet potato, bhajia, samosas, and kaimati. Having gone at tea time I ordered a plate of everything. The drinks menu is perfect for tea time with a variety of authentic Middle Eastern coffee, Masala tea, and smoothies for those who prefer a more cooling drink.
The snacks were expertly prepared. As a local I might have had the same snacks a thousand times but the ones at Jahazi stand out. As they are all deep fried snacks the chances of having excess oils is almost inevitable. But here, these snacks are so well drained and dried that it is almost impossible to believe they are deep fried. The samosas were crispy and meat filled. The spices from the meat combined with the shallots created this spicy sweet, fragrant taste that just made the taste buds sing and dance.
The bhajias and Indian version made from gram flour, bicarbonate of soda and fresh vegetables were equally as good. The best part of biting into the soft doughy ball is finding that unexpected crunch from the shallots and carrots. The mango chutney made with raw mangoes and green chilies is an accompaniment for all snacks. It is not completely blended thereby giving the chutney a fresh, crunchy bite with the right kick from the chili to keep you munching away.
If you are a real coffee fan, make sure to order the Turkish coffee. The coffee is full of earthy Middle Eastern spices served in a metallic pot. This coffee is so strong that a sip would jumpstart your entire engine. It is as authentic as coffee in the Arab culture gets. The masala tea is your ordinary milk tea mixed with a blend of local spices. The waft of the aromatic spice awakens your senses before taking the sip of this glorious chai. The smoothie made from sweet ripe mangoes is yummy and smooth and served in a generous glass.
Jahazi coffee house has a daily lunch menu comprising of the usual Swahili dishes like biriani, rice, fish, chapatti and pilau. However, they have a slow-cooked Swahili- traditional menu that is available on order. This menu consists of an array of Swahili foods and drinks that will have tourists and locals smacking their lips. Such include prawns, coconut cassava, sweet bananas, Swahili pudding, madafu and much more.
Jahazi seeks to promote the premier experience of the Swahili culture and heritage. It is truly a wonderfully conceived and perfectly executed idea. Jahazi Coffee House is Mombasa's pearl and is definitely worth a visit... or two.
Stars: 4"
cassava,Kenya@50 - Evolution of Kenyan Literature Since Uhuru,https://allafrica.com/stories/201312121027.html,Kenya@50 - Evolution of Kenyan Literature Since Uhuru,12 December 2013,The Star (Nairobi),http://www.the-star.co.ke/,http://www.the-star.co.ke/news/article-147118/kenya50-evolution-kenyan-literature-uhuru,"The literary scene in Kenya is growing and at a very fast rate - something considered a good thing especially after the 'silence' that made Prof Taban Lo Liyong' call the whole of East Africa a 'literary desert'. However, the journey to where it is right now says a lot about Kenyans, and Africa as a whole.
In the early 1960s, Kenyan writers borrowed heavily from oral literature as well as references from their surrounding to tell their stories. It was during this era that Ngugi wa Thiong'o released his first book Weep Not Child, after the play The Black Hermit. Most of the stories were basically content-based as the authors reacted to the events around them and the promise of independence. The 1960s also saw the publishing of Grace Ogot's The Promised Land (1966) Land Without Thunder (1968). More of her books were published in the 1970s and 1980s.
The 1970s saw the rise of authors such as David Maillu, known for his books After 4.30, My Dear Bottle and Unfit for Human Consumption, among others. Maillu is one of the writers who did not shy away from writing reality as is, to the point that his novels were considered vulgar and banned in some places. Meja Mwangi, known for his humour and depiction of filth- both physical and ethical- of his characters, was also a big name in this era. His books touched on a variety of topics, ranging from the Mau Mau struggle to the societal problems in Kenya, like in the book Kill Me Quick. A prolific writer, Mwangi has also written children books and plays on diverse stories. Just like Mwangi, Charles Mangua also assessed urban poverty and hardship in books like Son of a Woman and A Tail in the Mouth.
It is still in the 1970s that Muthoni Likimani was published. Her book Passbook Number F.47927: Mau Mau and Women in Kenya looked into the role of women during the struggle for independence. Her other books include Fighting Without Ceasing and They Shall be Chastised, which is a commentary on the conflict between African culture and Christianity. Marjorie Oludhe Macgoye, known for her book Coming to Birth, which was a set book in secondary school, also started publishing in the 1970s, with her book, Murder in Majengo published in 1972.
The 1980s saw the rise of a number of new authors, including John Kiriamiti, whose book, My Life in Crime, was published in 1984. Maillu and Mwangi also published more books including The Poor Boy and The Return of Shaka, respectively, and Asenath Odaga, author of Ogilo and the Hippo.
Poets were not left behind during the emergence of Kenyan writing. The likes of Micere Mugo, who published not only her poems but also co-authered a play, The Trial of Dedan Kimathi, with Ngugi wa Thiong'o. Jared Angira published seven poetry volumes including, Juices in 1970, Silent Wars in 1972, among others, he was also featured in Poems from East Africa, together with Jonathan Kariara, and Joseph Kariuki.
The 1990s saw the rise of authors like Margaret Ogola, whose book The River and the Source won the Jomo Kenyatta Foundation Prize as well as the commonwealth Writers' Prize in 1995. This era was considered as a period of unprecedented growth in literature especially in Kenya, with a lot of the already established writers coming up with new titles and with the emergence of new writers. Henry Ole Kulet also published Moran No More, in 1990, and Yusuf K Dawood published Water under the Bridge in 1991.
With the making Swahili a compulsory language in schools, the rise of Swahili literature was notable in the 1990s. In the late 1970s to 1980s, Swahili literature in both Kenya and Tanzania featured new themes and new methods of writing, geared towards moving away from the influences of colonial writing. However, it is important to notice that a lot of Fasihi, tamthilia and riwaya are from Tanzania, and very few from Kenya. Authors like Professor Ali Mazrui; Ken Walibora, known for Siku Njema; Khaemba Ongeti, the author of Visiki, and Katama Mkangi, known for his sci-fi book, Walenisi.
Playwrights have also grown with the changing landscape of the literary scene in Kenya. Francis Imbuga, renown for Betrayal in the City and Aminata, was able to deal with a number of issues including the conflict between tradition and modernity in society. Jimmy Makotsi also criticised the change of societal values in his play, She Ate the Female Cassava.
There has also been a lot of activity on non-fiction with more biographies and autobiographies hitting the market. Some of the memoirs include Wangari Maathai's Unbowed, Koigi Wamwere's I Refuse to Die, and recently, Raila Odinga's The Flame of Freedom.
With the advent of the millenium, contemporary writers found a new space to showcase their talents. With Caine, Burt, Wahome Mutahi, and the Jomo Kenyatta Foundation Literature Prizes, coupled with the establishment of literary institutions such as Kwani? and Storymoja, the Kenyan literary scene has never been more vibrant.
New age writers include Clifton Gachagua, the first winner of Sillerman Prize for African Poetry 2013, Stanley Gazemba of The Stonehills of Maragoli, Timothy Kiprop, the second runner up of Kwani?'s manuscript project, Kinyanjui Kombani, the author of The Last Villains of Molo, Ng'ang'a Mbugua, author of Terrorists of the Abedares and Different Colours, Tony Mochama, Yvonne Adhiambo Owuor, winner of the 2003 Caine Prize and author of Dust, and Moraa Gitaa, a nominee of 2010 Penguin Prize for African Literature and Winner of First Prize in the 2008 National Book Development Council of Kenya.
There has been positive remarks on the growth of Kenyan Literature, with authors excited over the number of young people considering writing as a career and life option, and with the increasing avenues in the literary and creative spaces for local creative content."
cassava,NBS Reports Slight Drop in Inflation,https://allafrica.com/stories/201312090913.html,Tanzania: NBS Reports Slight Drop in Inflation,9 December 2013,Tanzania Daily News (Dar es Salaam),http://dailynews.co.tz/,http://dailynews.co.tz/index.php/local-news/25626-nbs-reports-slight-drop-in-inflation?tmpl=component&print=1&layout=default,"THE inflation rate for November 2013 has dropped slightly to 6.2 per cent from 6.3 per cent recorded in October, this year, the National Bureau of Statistics (NBS) has announced.
But, annual inflation rate for food consumed at home and outside home increased to 7.6 per cent in November compared to the preceding month's 7.3 per cent, while the 12-month index change for non-food products decreased to 5.7 from 6.1 per cent over the period under review.
According to NBS, the overall index increased to 143.23 in November from 141.39 in October, this year. The increase in the overall index is attributed to the price increase of both food and non food items.
The new National Consumer Price Index released by NBS on Saturday for November also indicates that energy and fuels portrayed unstable price movements compared to other indices.
NBS Population Census and Social Statistics Director Ephraim Kwesigabo said that basically, the increase of month to month inflation rates is attributed to the price increase, both in food and non-food items.
""The annual inflation rate, which excludes food and energy for November, has decreased to 5.3 per cent from 5.7 recorded in October,"" Mr Kwesigabo reported.
He mentioned food item which contributed to the monthly headline inflation rate increase as rice, maize grain, pastry products, cassava flour, meat, traditionally bred live chicken, dried sardines, fried fish, coconut, vegetables, tomatoes and beans.
On the purchasing power of the Tanzanian shilling for November, Mr Kwesigabo noted that findings have shown that such power decreased to 70.31/- in November compared to the same month in 2010.
""On the average, energy and fuel index and food and non- alcoholic beverages index have shown a higher upward trend over the period compared to the indices, furthermore energy and fuel portrayed unstable price movements compared to the indices all items without food and energy have indicated a much stable price,"" she remarked.
While the Tanzania rate descends to a pleasing level, in Kenya and Uganda the inflation rate climbed up in September to 6.1 per cent and from 6.3 per cent and 6.2 per cent in October and November respectively.
Tanzania's inflation rate averaged 7.72 per cent from 1999 until 2013. It reached an all time high of 19.8 per cent in December, 2011 and a record low of 3.4 per cent in February, 2003."
cassava,The Beer Tales,https://allafrica.com/stories/201312021589.html,Nigeria: The Beer Tales,1 December 2013,Daily Trust (Abuja),https://dailytrust.com/,http://sundaytrust.com.ng/index.php/wakaman/15151-the-beer-tales?tmpl=component&print=1,"Apparently, there's no separating drinks from politics and governance. Rabiu Musa Kwankwaso is a man after many hats.
He taught the Kanawa to take pride in red caps. Red is not a colour you identify with the northern hemisphere, but if the Ibos can do it, the Kanawa can do it better. Last week, the red-capped two-time governor of Kano State decided to make national headline twice in two days.
In the first, you could see him grinning as he led five of his colleagues to the opposition. Two others broke their rope before they could be taken to the new pen but a five out of seven is an 'A' mark. Then, he decided to make a public show of beer the next day. There were those outside Kano of course, who felt that he should have made a secret deal with Bukavu Barracks and invest the proceeds on buying buses to replace the polluting tricycles called A daidata shahu. Kwankwaso understands what intoxicates the masses more than beer and he is giving it to them in large doses.
Everywhere you turn these days, the new political lingo is - please beer with me. A week earlier, some wicked amebos tried to convince us that the word indisposed is euphemism for hangover. The purpose of this article is neither to examine in divisive etymology of the Hausa proverb, bayacin kare, ama yana sha roomo - he considers dog meat a taboo but has no qualms with the stew. Everywhere Bachus and governance clash, the devil's always in the details.
In far-away Toronto, Mayor Rob Ford has resisted the moral pressure to step aside. His beer-loving colleagues accused him of excessive beering to which he confessed along with a one-chance encounter with crack cocaine. Toronto may not be Sin City, but it's certainly not a holy land. While walking around that city sometime ago, I discovered an eatery called Shoeless Joe. It reminded me of a similar one from Otuoke.
To Toronto's moral police, a mayor who confesses to drink driving, wild partying and crack cocaine has lost the moral right to run their city. Ask them to close their beer parlours, and the answer is likely to be a resounding no. Rob Ford's budget runs on beer, spirits and money from, (do not say so officially) crack cocaine.
In the past, Kano had at least two breweries. Politicians locked down the breweries and threw the keys into Challawa Gorge Dam, so as not to be tempted to retrieve it. If you find an old man in Fagge, or Birnin who built houses or educated their children with earnings from those breweries, please remind them that both the houses and their breadwinning children are haram. Incidentally, when the breweries closed, so did the garment factories. Kwankwaso's government has not resuscitated the factories, but it pays the moral police.
Those who argue that you cannot legislate morality are unlikely to be fans of Bill Clinton or even Silvio Berlusconi. Clinton deserves our pardon but so does the former Italian prime minister who was officially kicked out of parliament last week. He waited until his enemies drove him out. The three time prime minister, first made money before seeking political power. Over 70 years, he has not divorced himself from the way of lesser mortals - wild parties, including orgies with children young enough to be his grand-daughters and of course a chunky slice of the corruption pie. His girlfriend is now on the vanguard of those taking his case to the Pope! Berlusconi may be down, but there are those who still feed from his business empire.
There are two ways to remain indelible in the minds of the electorate - foolishly build legacies or appeal to the banal cravings of the hoi polloi. The wise do both. For expediency, they are bottle-crushers at the local level and opposition bigwigs at the national level. Both pay electoral dividends just like notoriety.
To those unlearned about the political opposition in Naija, they should think about the difference between the faces of the same coin. In Naija, those who wake up on the same bed of governance are the ruling class; those who seek to supplant them are opposition - two sides, same coin. Those who practice monogamy see the polygamous as opponents until they too accidentally take a second wife. Those who eat cassava bread are in opposition because they envy those who eat wheat bread. Forgive us if you're alien to these differences. Please beer with us, if our notion of opposition does not conform to the Greek definition of democracy. We have found out, rather painfully how the Greeks have ruined their own notions and we are now in search of a homegrown replacement. If you fall out of favour with your colleagues on the other side, you simply turn round and take your queue on the waiting list. Please beer with us till we get it right."
