Crops,Original_Search_Title,Link,Headline,Date,Publisher,Publisher_URL,Source_URL,Body_Text
cassava,Christmas Then And Now...,https://allafrica.com/stories/201012240858.html,Kenya: Christmas Then And Now...,24 December 2010,The Nation (Nairobi),http://www.nation.co.ke/,http://www.nation.co.ke/Features/saturday/Christmas%20then%20and%20now/-/1216/1078144/-/89rr4f/-/index.html,"Nairobi — I don't have new clothes for Christmas. Oh, how I miss Christmas clothes. I think the only thing I miss about the day are the new clothes.
I would know it's Christmas because I smelled new, I smelled like a shop. New shoes, new shirt, new pair of jeans, always complete with a tag hanging from it.
And, of course, these came with a new walking style because new shoes always somehow made you walk funny. Growing up has robbed Christmas of some of its novelty. Today, Christmas has become sober and predictable. It has grown up.
Only children can truly enjoy Christmas because it has an air of spiritual romanticism. It's the bearded fellow who slinks down chimneys bearing gifts. It's the jingles and carols.
It's the flashy red and white colours and Christmas trees that blink in darkness. It's the tenderness that your parents address you with. And it's the food, lots of food. Plus they let you stay out late on Christmas. They let you become unruly.
Growing up, Christmas was mostly spent in the village. And nobody complained because it was fun. It was what I like to call an African Christmas.
Instead of snow, there was grass. We played on the grass and in the thickets, and we climbed trees, ate mangoes and watched the green hills.
Instead of reindeer, there were cows and goats. Family was big back then and family stayed together. Your uncles patted you on the head and asked you the questions you hated to be asked, ""What position where you last term?""
If you had a good grade, they fished for loose change in their pockets and handed them to you. If you had dropped, they would lightly remind you the virtues of working hard. Most of those uncles have passed on.
Christmas meant watching grandfather wobble on his walking stick to his seat under the tree where he listened to an old National radio.
Grandpa was the closest thing to Santa Claus with his white hair. But grandpa wouldn't climb down any chimney, not in his clean pressed pants, shirt and tie. Back then, they wore ties to sit under a tree.
People respected themselves enough to dress decently. Christmas also meant going to Church and sitting for hours on end. And the truth is that church was boring because it cut into our play time.
We would fiddle uncomfortably in our chairs willing the time to pass quickly. But at the end of church, a big feast awaited. There was chicken and rice and rice and meats, and beans and cassava and vegetables and ugali.
It was a food festival and the whole extended family would eat and laugh together. And they would eat, not with forks and knives but with their fingers. I saw the biggest ugali being moulded into enormous lumps those days, a lump big enough to give you a concussion if it was hurled at your head.
But the feast didn't start before someone stood up to bless the food, and that someone would normally be an ageing person who obviously wasn't hungry enough because they would pray until the stew grew leaves.
The women would all be in colorful kitenges and the men in trousers and shirts firmly tucked in. Everybody was well-scrubbed. And people smiled a lot, even at strangers.
People reached out, they invited neighbours who didn't have to eat with them, even if they weren't dressed as nicely. And all this love was felt by the village dogs as well because apart from being well-fed from the left-overs, nobody kicked them around on Christmas day.
There was an air of generosity in the air. An air of togetherness. Christmas was that big then and we all looked forward to the day. Today, (maybe because I'm much older) Christmas is spent behind gates and long fences.
It is spent with family and sometimes friends as well. Alcohol seems to be the centre of gravity in such functions because perhaps that's the only way people can enjoy each other's company.
Children now ask about Santa Claus, not about grandpa and that's okay really because it's a different reality. The innocence is all but gone from Christmas because even when you are knocking back your whisky, there is always that niggling voice at the back of your mind saying, ""Psst, school fees, school fees!""
Still, it's a great time to be thankful. A wonderful day to reflect on relationships. A good time to give without expecting something in return. The best gift you can give someone this Christmas is to extend a gesture of friendship. That, to me, is better than new clothes. Okay, almost.
Merry Christmas!"
cassava,Why Customs Can't Enforce New Import Policy,https://allafrica.com/stories/201012210409.html,Nigeria: Why Customs Can't Enforce New Import Policy,20 December 2010,Daily Independent (Lagos),https://independent.ng/,http://www.independentngonline.com/DailyIndependent/Article.aspx?id=25714,"Lagos — The Nigeria Customs Service has said it cannot implement the new policy on textiles and other items that government announced their removal from the prohibition list until formal circular is received from the federal government.
According to a statement signed by the deputy public relations officer of the service, Joseph Attah, the Service does not formulate policies but implement them when so directed.
Although he acknowledged that the federal government did announced a new policy on textile and other items, he noted that no formal circular on the decision has been received by the Service to enable the Comptroller-General of Customs commence implementation.
He said the service did not refuse to implement the new policy as alleged in some media.
""For the avoidance of doubt, let it be known that the CGC, members of the management team and indeed every Customs officer welcome the review, as it will help to reduce smuggling as well as increase our revenue collection,"" the statement stated.
The statement however said it was wrong to assert that the CGC is delaying the implementation of a policy that will increase its revenue collection, adding that the service is ready and willing to implement the policy and indeed any other, as soon as government circular is received.
The federal government had a few weeks ago, removed some items, including textiles, furniture, toothpick and cassava among others from the import prohibition list and also approved the extension of age limit for vehicular imports to 15 years, which hitherto was pegged at 10 years.
The import trade policy reviews were contained in a memo sent to the controller-general of Customs and the three destination inspection service providers, Cotecna Inspection limited, Global Scan System and Societte Generale de Surveillance by the federal ministry of finance.
But in the last few weeks, various commands of the customs have continued to seize textiles and other imports already removed from the prohibition list, thereby eliciting criticism from the public.
For instance, the Apapa area one command of the service in conjunction with the newly inaugurated task force at the weekend announced the seizure of 23 containers, most of which are laden with textile materials.
But head of the task force, comptroller Edike Eporwei said the imports were seized because they contravened section 46 subsection b, c, d, and e of the Customs and Excise Management Act (CEMA)."
cassava,Iron Bar Wielding Thugs Kill Six in Mukono,https://allafrica.com/stories/201012210081.html,Uganda: Iron Bar Wielding Thugs Kill Six in Mukono,20 December 2010,New Vision (Kampala),http://www.newvision.co.ug/,http://newvision.co.ug/D/8/12/741745,"IRON-bar killers are on rampage again. The thugs have killed six people and injured several others in Mukono district within three weeks, causing fear among residents.
The thugs target mostly boda boda riders and women working in markets, whom they waylay at night.
Yesterday morning, a prominent Mukono florist, Godfrey Gamwanga, became the latest victim.
The killers, who reportedly move in groups, attacked Gamwanga at about 5:00am as he walked to his workplace in Ntaawo zone in Mukono town, where he operates a nursery bed of flowers and trees.
According to the Goma LC3 chairman, Erisha Mukasa Nkoyooyo, who was among the first people at the scene of crime, the gang hit Gamwanga with a metallic object.
Gamwanga's body was found near Kob Medical Care, a few metres from his home. Besides being neighbours, Nkoyoyo and Gamwanga were friends. Nkoyoyo said the killers went away with Gamwanga's two cell phones, and an unspecified amount of money.
Residents said several people had been attacked in a similar way and six of them killed. They blamed the Police for not providing enough security as the festive season approaches.
""We wonder why the Police are deployed in areas that have no problems, leaving the most dangerous unattended to,"" a resident said.
Others killed in the past three weeks include 20-year-old Violet Nalubwama, a student of Kampala University. She was killed on December 1, near Rider Hotel in Seeta. Residents said they heard her screaming and found her body in a trench with deep cuts on the head.
Henry Kabuubi, 29, a resident of Kisenyi-Namiryango village in Seeta, was killed on December 13 and his body dumped on a railway line. Residents suspected that he was attacked over a sh50,000 note he had during the day.
Also killed during the same period was Saba Munyanwali, a bodaboda rider, at Mukono Taxi Park. He was stabbed in the stomach.
In addition, Nalongo Namusisi, was struck at Kitega near Wantoni market in Mukono town as she went to work in the morning. The iron bar killers also murdered Reagan Amanya, another bodaboda rider in Seeta town, and took off with his motorcycle.
Other victims survived, but are still nursing wounds. These include Jackson Sseremba, a builder based in Mukono town, who was hit as he walked to Seeta town in the morning.
Moses Lubulwa and Moses Muhumuza, both bodaboda riders, are still undergoing treatment after they were hit and their motorcycles taken. Steven Lutalo and John Nkugwa also survived by a whisker. Last month, three people were killed and many injured in various towns of Mukono district.
Those killed include Josephine Namubiru, who was frying cassava in her stall near Rider Hotel at about 6:00am. The killers went away with her mobile phone and petty cash.
Saad Kalyango, a teacher at Vincent Alex Primary School, Dickson Ssentongo, a journalist attached to Prime Radio, were also murdered in a similar way.
Seeta Police Police boss Abdul Nasser recently said the Police were holding village meetings to sensitise the public on ways of avoiding such attacks. The Police criminal investigations chief, Edward Ochom, said the criminals were mostly former convicts.
A survivor's tale
Sam Ejibua, 33, said he was attacked by two iron bar-wielding men at 4:00am on December 11, as he walked to his house in Zone 9, Mutungo, Nakawa Division. He said the attack occurred on his way from a dinner at Hotel Africana.
Ejibua added that the thugs took off with his wallet and a Nokia mobile phone. The wallet contained sh250,000, my identity and ATM cards. The iron bar dislodged his molar tooth and broke the nasal bridge. He was saved by a neigbhour, who carried him to a nearby clinic.
""I reported the case to Kitintale Police post. The Police said they could not help me, not even to trace my phone. I lost interest in the matter,"" Ejibua said."
cassava,Yet Another Industrial Policy Somersault,https://allafrica.com/stories/201012160242.html,Nigeria: Yet Another Industrial Policy Somersault,15 December 2010,Vanguard (Lagos),http://www.vanguardngr.com/,http://www.vanguardngr.com/2010/12/yet-another-industrial-policy-somersault/,"My tenure coincided with the tenure of three Presidents, four Finance Ministers, Four Ministers of Commerce & Industry and four Comptroller Generals of Customs . . . consistency of policy for at least 15 to 20 years is critical to economic takes off and sustained growth,"" Former MAN President, Alhaji Bashir Borodo.
Barley three months after Borodo uttered those words during Manufacturers Association of Nigeria 38th annual general meeting, stakeholders in the industrial sector were awakened to a morning of ""yet another policy somersault.""
To their chagrin, breaking news reported that the Federal Government's lifted the seven year's ban on some items, like textiles, furniture and cassava from the list of prohibited items.
The decision was contained in a circular issued by the Minister of Finance, Mr. Olusegun Aganga, to the Comptroller-General, Nigeria Customs Service. The government also approved an import duty rate tariffs of between 10 percent and 20 percent.
In a swift reaction, the National Union of Textile and Garment and Tailoring Workers of Nigeria,(NUTGTWN), said that wholesale import policy undermines local manufacturing firms.
The Union's General Secretary, Comrade Issa Aremu, observed that Nigeria is already a dumping ground for all manner of imported goods, including ammunition packaged as industrial goods.
""For government to approve the lifting of the ban is to further give legitimacy to criminal smuggling.
Coming at the time everybody has been so excited about the good work the current administration is doing to revive the textile industry, ban lift is a policy spanner thrown into the wheels of revival of industries in general.""
""Import kills local industry and poses serious threat to the national economy,"" said Aremu
Similarly, the Director-General, Nigerian Textile Manufacturers Association, Mr. Jayeola Olanrewaju described the ban lifting as a set-back to government's efforts to revive the ailing textile sector.
""We cannot compete with imported textiles under the current business environment.
""If within one year the market is saturated with imported textiles, local industries will have problems selling and many of them will certainly close down,""he said.
He foresees that the lifting of the ban placed on the importation of textile materials may threaten the repayment of loans taken under the Textile Cotton Revival Fund.
According to him, the loan beneficiaries are being exposed to unfair competition through unbridled importation of textile materials. ""The N100bn revival fund from which textile manufacturers borrowed to revitalise their operations, may be difficult to repay,"" he said.
The General Manager, Haffar Industrial Company Limited, Mr. Michael Adebayo, said the development was not in the interest of the nation's economy, adding that it negated every aspect of what the government preaches.
Adebayo recalled that stakeholders only proposed lifting of ban on some fabrics, like lace materials and guinea brocade that could not be produced locally. ""We were taken aback that government did not take the advice and instead went ahead to lift the ban,"" he said.
Furniture and Allied Product Manufacturers Association of Nigerian (FAPMAN) also joined in thew wailing over the lifting of the ban on furniture products.
According to Mr Segun Adetiba, President FAPMAN, imported furniture should remained ban so that members of the association can enjoy what they have invested in the business.
He noted that the decision of the federal government to lift ban at this time may have far reaching negative consequences on the local manufacturers, as most local manufacturers will be forced to abandon production and start importation which will cause 1.23 million job loss, aggravate unemployment and criminal activities and insecurity of lives and property, total strangulation of the local market as patronage for locally made products may decline.
However, in the words of the Minister of Commerce and Industry, Senator Jubril Martins-Kuye, the new policy was devised to stem loss of revenue to government through smuggling activities at the country's borders.
""The reality on ground has informed government to streamlined policy on importation of goods on what operate in Benin republic, Togo and Ghana which would yield more revenue to government. We are not surrendering to the will and wish of World Trade Organisation (WTO). We are just doing what is right, proper and appropriate to our economy and for our People.""
The Minister posited that if government continues to put goods that cannot be produce locally on the ban lists, unpatriotic Nigerians will find way to circumvent the law and the goods will find their way into our various markets and homes.
""So Nigeria has lost on both sides. The new duty and levy of 35-40 per cent would enable Nigeria Customs to generate more revenue for government which would eventually spread to other sector of the economy,"" said Martins-Kuye
Be that as it may be, the number of textile factories operating in the country is said to have declined to 25 from 124 (1996 statistic), while the number of workers in the industry has slumped to 24,000 from 130,000, what does the future hold for the industry under an opened door or liberalised market? We shall have to wait and see."
cassava;sweet potato,"There Are Many Antoinettes, Few Musevenis in Uganda",https://allafrica.com/stories/201012160123.html,"Uganda: There Are Many Antoinettes, Few Musevenis in Uganda",15 December 2010,New Vision (Kampala),http://www.newvision.co.ug/,http://newvision.co.ug/D/8/459/741233,"I was in Paris recently and visited the place de' Concorde where the famous Queen Marie Antoinette was beheaded by the French commoners.
I also visited the famous city of Versailles to see the palace where Antoinette lived with her King Louis. Why did I go there? I wanted to stand at the point where Antoinette made her world wide known statement: ""If you have no bread why don't you eat cakes?""
This statement was made to a hungry mob of French peasants who came to the palace crying out to their King about their lack of food. The Queen's response was cruel and showed that she was out of touch with the commoners' problems. This led to the French revolution in which the Queen was beheaded and the monarchy overthrown.
There are many lessons to learn from this. Are today's politicians in touch with the people or do we only seek them during election time to give them a dime for their vote? Because a dime is so dear to them, they accept it and wait for another, four-and-half years later.
For four years they wallow in poverty, nobody cares. Some sleep in makeshift shelters, use kaveera for toilet, which they toss onto rubbish heaps or into the Nakivubo Channel or in bushes.
They live side by side with waste, have jiggers from feet to their lips and private parts. They scavenge in their poorly attended to gardens for weeds, which they cook with cassava or sweet potatoes for their daily feed. In my community travels, I did not see a well attended to garden of vegetables; that is why I call it scavenging for a weed that is edible.
Museveni's era has worked so hard to reduce poverty. The Government has fulfilled all its obligations to reduce poverty. Therefore, its is wrong for the opposition to tell the masses that Museveni will leave them in poverty pakalast. Let us give credit where it is due even to our perceived enemies.
Indicators of poverty reduction are access to clean water, health services (within 5kms), universal education and access roads to communities. All these are the responsibilities of the Government. Whether you like Museveni or not, he has done very well in these areas and must be applauded.
However, there are other indicators of poverty reduction, which communities must provide for themselves. These include good shelter, hygiene, clothing and adequate food.
Nevertheless, Museveni has also done well in this area by promoting the Prosperity-for-all programme. When one sees us walking through people's gardens, peeping into their houses and latrines, it is not simply a joke. I would have expected every politician, whether in the Government or the opposition to do the same. But I have only seen two solitary individuals: Museveni and his deputy. As a result, many peasants have improved their way of life. Supposing many more politicians were doing this!
I see very many Antoinettes in this country; even those who lie to gain political capital are Antoinettes. If you tell people Museveni will keep them in poverty pakalast (forever), you are an Antoinette. If you say because Bukenya is a Catholic therefore sectarian, you are an Antoinette. Let us stick to issues and develop our country.
During the Luwero war, very few people in Kakiri, Masulita and Nakaseke thought the liberator would reach Kampala.
The Arch de Triumph reminded me of the Napoleonic wars that culminated in the building of this famous structure in the middle of Paris. Our people (the NRA) triumphed and ushered in a new system of democratic rule, eliminated state-inspired killings and brought about development. Is it not time to build the Ugandan Arch de Triumph somewhere in the arteries leading to Kampala? It is good to remember history.
When I visited the Eiffel Tower, a Frenchman told me that in the beginning, the French did not like the tower and they wanted to pull it down several times. However, they are now so proud of it and over 10 million tourists visit it every year.
Sometimes, I hear calls of ""Agende, Agende"" to our Eiffel Tower, what a pity! Leave him alone; some people still want to see him around.
The last 20 years or so have been the best years for Uganda. Now I go to all corners of the world and whenever I say I am a Ugandan, the reply is: ""You have done well."" This is a big contrast from what it used to be in the previous regimes. Let us give our President a massive thank you vote pakalast.
Looking back now, I know that by now I would be long dead if it were not for the patience of Museveni. I have been accused by high ranking politicians of mobilising to overthrow him. I looked at him and there he was; composed, calm and smiling. I feared the smile because I was told former president Idi Amin used to smile and in another hour you would be dead. I once told this to my mother, she shed a tear of happiness and said a prayer for me, thanking the Virgin Mary for protection.
There are many Antoinettes in our society, including big political leaders but very few Musevenis. Now that I am still alive, I will give him my vote, and so will my mother and several of my relatives, clansmen and in-laws. Those who tell lies will perish like Antoinette."
cassava,"Lifting of Ban On Textiles, Others, Tragic for Local Industries, Labour",https://allafrica.com/stories/201012130512.html,"Nigeria: Lifting of Ban On Textiles, Others, Tragic for Local Industries, Labour",10 December 2010,Vanguard (Lagos),http://www.vanguardngr.com/,http://www.vanguardngr.com/2010/12/lifting-of-ban-on-textiles-others-tragic-for-local-industries-labour/,"Organised Labour in the nation's Textile industry, has faulted Government lifting of ban on the importation of textile materials, furniture, toothpicks and cassava products while raising the age limit on importation of vehicles into the country from 10 to 15 years is indeed tragic for a country that is striving to be one of the 20 leading industrialists.
Under the umbrella of the National Union of Textile and Garment and Tailoring Workers of Nigeria, NUTGTWN, lamented that the recent lifting of the ban on importation of Textile fabrics and others was a complete policy somersault from the policy thrust of the federal government which aimed at growing non-oil sector in general and manufacturing in particular.
In a statement by its General Secretary, Comrade Issa Aremu, the union argued that, ""The lifting of the ban on the importation of textile materials, furniture, toothpicks and cassava products by the Federal government succumbing to World Bank pressure while also raising the age limit on importation of vehicles into the country from 10 to 15 years is indeed tragic for a country that is striving to be one of the 20 leading industrialists.
The government banned the importation of textile materials and a number of products such as furniture in response to mass pressure from National Union of Textile Garment and Tailoring Workers of Nigeria (NUTGTWN) and Manufacturers Association of Nigeria (MAN) that wholesale importation undermines local manufacturing firms.
The current lifting of ban is a complete policy somersault from the policy thrust of the federal government which is aimed at growing non-oil sector in general and manufacturing in particular. Wholesale and indiscriminate import of goods such as toothpicks, textiles, furniture on which Nigeria has comparative advantage has been one of the failure-factors that killed local industries. Previous governments of Chief Olusegun Obasanjo and late Alhaji Umaru Musa Yar'Adua following engagements with critical stakeholders put a legitimate ban on some of these products that Nigeria has comparative advantage.
Even at that the ban was abused due to lack of capacity and genuine commitment of Customs and the Standard Organisation of Nigeria (SON) to monitor import and enforce standards respectively.""Nigeria is already a dumping ground for all manner of imported goods, including ammunition packaged as industrial goods."
cassava,BATN Foundation Inaugurated Anambra Community Centre,https://allafrica.com/stories/201012090653.html,Nigeria: BATN Foundation Inaugurated Anambra Community Centre,8 December 2010,This Day (Lagos),http://www.thisdaylive.com/,http://www.thisdayonline.info/nview.php?id=189529,"Awka — The British America Tobacco Nigeria (BATN) Foundation has commissioned a Vocational Training Centre for the Ndikelionwu community in Orumba North Local Government Area of Anambra State.
The Executive Director of the foundation, Mr. Gbenga Ibikunle, said at the commissioning ceremony that Nigeria can solve her unemployment problems by the establishment of vocational institutions.
He said it was in response to employment needs of Nigeria that BATN Foundation has supported vocational enterprise institutions in Jere and Kaduna in Kaduna State; the Blind School at Oshodi, Akinyele School for the Handicapped and the Business Apprenticeship Training College, Zaria through infrastructure rehabilitation and development.
""The large army of Nigerian youths who are unable to gain admission to tertiary institutions can also avail themselves of the great opportunities in vocational education,"" Ibikunle said.
The centre at Ndikelionwu is fully equipped to cater for trainings in Information and Communication Technology (ICT), Computer Studies, Cookery and Soap Making.
The BATN Foundation's executive director thanked the traditional ruler of Ndikelionwu and famous novelist, Prof. Chukwuemeka Ike, and the National Directorate of Employment for their assistance in getting the centre started off.
The traditional ruler of the community said the vocational centre was a follow-up to the establishment of a Cassava Processing Mill funded by BATN.
""I took them to a bungalow I built in 1964 (when I was the Registrar of the University of Nigeria) to empower my parents economically in their old age. They considered the complex suitable, and undertook to rehabilitate it,"" Ike said of the building housing the vocational centre.
Deputy Governor of Anambra State, Mr. Emeka Sibeudu, who officially inaugurated the centre, said the government would encourage people who are prepared to bring good things to Anambra State. He decried the emigration from rural areas, and urged youths to explore the rich resources that abound in rural areas.
He said the process of recruiting teachers to the service of the state was still ongoing, explaining that the delay in the process was caused by the need to ensure that the applicants met set standards."
cassava,"Ogun, Shandong Province Develop Industrial Garden",https://allafrica.com/stories/201012090262.html,"Nigeria: Ogun, Shandong Province Develop Industrial Garden",8 December 2010,Daily Independent (Lagos),https://independent.ng/,http://www.independentngonline.com/DailyIndependent/Article.aspx?id=25131,"Abeokuta — The growing bilateral economic relationship between Ogun State and the Shandong Province of China has further been consummated with the visit of Chinese leading businessmen and economic leaders from the region and the commencement of the development of an industrial garden.
The economic delegation which ended its three-day visit to Ogun State on Wednesday came to cement investment deals in paper and pulp manufacturing, solar energy, winery, cassava processing and hospitality.
According to a statement by the Chief Press Secretary to Ogun State Governor, Mr. Gbenro Adebanjo, the delegation led by Director General of Shandong Provincial Economic and Information Technology Committee, Mr. Guo Shuyu came under the auspices of the Ogun Shandong Business Council which was established last year when the Ogun State Governor Otunba Gbenga Daniel led an economic delegation to China on an investment drive.
The executive secretary of the Council, Mathew Li, said they were in Ogun to do a follow up on the various understanding reached whenw the Governor visited Shandong, one of China's provincial economic giants.
He said during the visit they explored business and investment opportunities and also began preliminary works on the industrial garden which is being developed in the Ikenne axis of the state.
Executive director of the Ogun Shandong Business Council, Otunba Lawal Solarin said the visit was a milestone as the mutually beneficial economic relationship between both states has now been firmly established.
He said business men from Ogun State could take advantage of this when they are in China as the office of the council in Jinan, Shandong was already operational while the counterpart office at OPIC building, Abeokuta has also been opened.
The Ogun-Shandong Business Council is entirely a private sector initiative co-sponsored by the Ogun and Shandong governments.
It is established towards promoting, protecting, and developing all matters affecting commerce, industry and other businesses within the purview of the relationship between Ogun State and the Province of Shandong."
cassava,Manufacturers Fault Revised Import Prohibition List,https://allafrica.com/stories/201012080173.html,Nigeria: Manufacturers Fault Revised Import Prohibition List,8 December 2010,Leadership (Abuja),http://www.leadership.ng/,http://www.leadershipnigeria.com/ns/index.php?option=com_content&view=article&id=20907:-manufacturers-fault-revised-import-prohibition-list-&catid=18:business-news&Itemid=104&tmpl=component&print=1&layout=default&page=,"Stakeholders in the manufacturing sector have kicked against the federal government for lifting the ban on some items on the import prohibition list.
The federal government last week Tuesday lifted the ban on the importation of textiles, furniture, cassava and extending the age limit of second-hand vehicles from 10 year to 15 years and other sundry items,
The stakeholders who expressed their views condemned the development and described it as insensitivity on the part of government.
They were of the view that lifting of the ban was a set-back on government's efforts to revive the textile sector as well as a disservice to the nation's economy.
Secretary-General, National Union of Textile, Garments and Tailoring Workers of Nigeria (NUTGWN), Mr. Isa Aremu, said the action was a set-back on the economy and would jeopardise the industry.
Aremu said: ""The forces to legalise importation of textile products have been on for a long time. Why should the government concede to it now?
""The administration that put the ban in place has vision and should not be truncated for any reason. The ban is till very valid.
"" The Asians behind it should be made to set up factories in Nigeria. We must look at the reasons why government should now find importation more attractive,"" he added.
He warned that Nigeria 's race towards year 2020 target to join the league of most industrialised nations would remain a myth unless the problem of infrastructures, stable policies and protection are put in place.
He regretted that government should have properly implemented the ban rather than lifting it.
His words: ""More textile industries in Nigeria are dying. They have struggled for too long without success to swim through the troubled waters of poor infrastructure, high taxation, and activities of illegal importers and inconsistency of government policy."""
cassava,Government's New Import Circular,https://allafrica.com/stories/201012070362.html,Nigeria: Government's New Import Circular,6 December 2010,Daily Independent (Lagos),https://independent.ng/,http://www.independentngonline.com/DailyIndependent/Article.aspx?id=24973,"In a recent Import Circular addressed to the Comptroller-General of Nigeria Customs Service (NCS) as well as to key import control officers and signed by the Honourable Minister of Finance, Olusegun Aganga, government released new import duties and levies, while removing a number of products from the country's import prohibition list.
According to the circular, cassava products would henceforth attract an import duty of 20% and a 15% levy, while toothpicks would attract a 20% duty and an additional 20% levy; same as furniture and textiles fabrics. In addition, some health and energy drinks (Power Horse, Red Ginseng etc) have been removed from the prohibition list, and are now to attract a 10% levy, while it extended the age of vehicles which can be imported into the country from 10 to 15 years.
This, for all practical purposes is a welcome development given that Nigeria over the years has lost several billions of Naira essentially due to the activities of smugglers, who prefer to patronize the ports of neighbouring countries from where they bring these same goods into the country. A recent World Bank report indicates that about N600 billion cargos of banned goods usually escaped the customs and entered Nigeria's markets principally from the Cotonou Port in the Republic of Benin. This represents about 15% of Nigeria's annual imports. Similarly, about 90% of Benin's poultry imports are smuggled into Nigeria, where frozen poultry imports are banned. Moreover, older fairly used cars also find their ways into Nigeria, through the same sources in spite of governments' ban on cars beyond ten years.
It is equally estimated that Nigeria looses as much as N750 billion annually to smugglers and corrupt custom officials as a result of the ban on textiles alone. Hence, government's latest action may possibly eliminate this drain pipe by ensuring that such loopholes often exploited by smugglers and corrupt customs officials are permanently blocked even as the accruing revenues would now go into the coffers of government. In any case, what indeed is the use of banning, when the same products end up finding their way into the country? Who would have for instance believed that lace materials or even energy drinks, which have hitherto flooded our markets, were prohibited items? The truth of the matter is that the long list of prohibited goods has facilitated substantial smuggling and consequent rent seeking by customs officials since such bans are often difficult to enforce given the country's porous borders.
It will be recalled that Nigeria's main trade policy instruments from the mid 1970s shifted markedly away from tariffs to quantitative import restrictions, particularly import prohibition and import licensing. At the same time, once goods are prohibited, it is the consumers that bear the burden of higher prices, poor quality and limited variety of locally produced alternatives even as prohibition is usually rendered impotent by large scale smuggling. Need we say that this has continued in spite of stiff penalties imposed on those involved?
Nevertheless, we should not see the latest action undertaken through the government action as an end in itself. At best, it should be interpreted as a stop gap measure, indeed as a means to an end. On the surface both the World Trade Organisation [WTO] as well as the globalisation process it has facilitated preach and promote open trade, yet the challenge for our policy markers remains how best to protect the country's infant industries by ensuring that they are not over exposed to unfair competition from bigger and more established firms. Some level of restriction may be necessary and every country does it. We do not support the total opening of our borders to imported goods, which obviously will turn us into a dumping ground and further destroy our economic aspirations.
Of course, the least the government can do to assist the local manufacturers is to ensure a friendly business environment in terms of infrastructure support, eliminating multiple taxation and enhancing access to cheap credit. It is self evident that no business operating in Nigeria at the moment can ever compete in the global environment given the almost total absence of a conducive operating environment. It is possibly against this background that several manufacturers operating in the country now see the latest government circular on imports as double jeopardy, given that they lack a friendly business environment, while the little protection that they have hitherto enjoyed from foreign competition has now been removed.
We therefore call on government to redefine its policy especially in terms of providing definite timeframes under which the new tariff regime will operate; initiating concrete long term strategies aimed at improving Nigeria's business environment; and, re-strategising to enhance local productivity. It is only then that we will have something definite to cheer about."
