Crops,Original_Search_Title,Link,Headline,Date,Publisher,Publisher_URL,Source_URL,Body_Text
cassava,Habila Seeks Encouragement for Upcoming Writers,https://allafrica.com/stories/200712310744.html,Nigeria: Habila Seeks Encouragement for Upcoming Writers,30 December 2007,Vanguard (Lagos),N/A,N/A,"Celebrated writer, Helon Habila, was recently a guest of the Advancement Office of the University of Jos to deliver a Distinguished Alumni Lecture as part of his tour of Nigeria. He spoke to Sunday Vanguard on the occasion.
HOW does it feel coming back to your former university after some years?"
cassava,"Esther Lalam, a Teacher in Northern Uganda - an Xmas Feast And Reunion",https://allafrica.com/stories/200712271009.html,"Uganda: Esther Lalam, a Teacher in Northern Uganda - an Xmas Feast And Reunion",28 December 2007,UN Integrated Regional Information Networks,N/A,N/A,"Kitgum — This is part of a special IRIN series: Uganda Diaries, in which a selection of ordinary people in northern Uganda talk about their lives in their own words. The ""diaries"" were gathered over several interviews in Uganda starting from July 2007.
December 14"
cassava,"Museveni Warns Mengo, CBS On Land",https://allafrica.com/stories/200712240085.html,"Uganda: Museveni Warns Mengo, CBS On Land",23 December 2007,New Vision (Kampala),N/A,N/A,"Kampala — President Yoweri Museveni yesterday addressed a press conference on the question of land. Alfred Wasike and Raymond Baguma transcribed the President's speech
I want to comment on the statements that have been made on some of the radios especially CBS regarding land. I would like to make four points on that issue."
cassava,Standing Up to Bullies,https://allafrica.com/stories/200712210022.html,Uganda: Standing Up to Bullies,21 December 2007,The Monitor (Kampala),N/A,N/A,"Don't you just hate those times when you are stuck at the park and the number of people waiting at your stage could fill 10 kamunyes yet only one comes along every 10 minutes?
Here I am stranded and have been standing here since 6p.m."
cassava,"Pine Trees Vital, Says VP Bukenya",https://allafrica.com/stories/200712210131.html,"Uganda: Pine Trees Vital, Says VP Bukenya",20 December 2007,New Vision (Kampala),N/A,N/A,"Kampala — PEOPLE with small pieces of land in rural areas should engage in tree planting that will bring them both income and firewood, the vice president, Gilbert Bukenya, has said.
According to a statement issued by the VP's Press Unit yesterday, Bukenya, who was speaking at his tree-garden in Kakiri, said the misconception that tree planting is a reserve for the rich who own bigger chunks of land must be discarded."
banana;cassava;sweet potato,Sanyu Babies Home Gets Donation,https://allafrica.com/stories/200712210116.html,Uganda: Sanyu Babies Home Gets Donation,20 December 2007,New Vision (Kampala),N/A,N/A,"Kampala — CHRISTMAS came early for the children of Sanyu Babies Home in Kampala when they received donations from the Indian community under the Shree Kutch Satsang Swaminarayan Temple.
Handing over the items on Tuesday, Nitin Vekariya, the community chairman, flanked by other members of the temple, said the donations worth over sh3 million were also made to five different homes for the disabled people and orphanages in Kampala and Jinja."
cassava,'The EU Is a Bandit in Trade Negotiations',https://allafrica.com/stories/200712200634.html,Ghana: 'The EU Is a Bandit in Trade Negotiations',20 December 2007,Inter Press Service,N/A,N/A,"Accra — A lively debate has been taking place in Ghana for some time now over the likely effects that an economic partnership agreement (EPA) with the European Union would have on the country. This has been thanks in no small part to the work of Tetteh Hormeku, one of Africa's most vocal campaigners on trade issues.
The European Commission, the EU's executive arm, is adamant that nearly 80 African, Caribbean and Pacific (ACP) countries must sign interim EPAs - relating to trade in goods - by the end of this year, with talks on a range of other issues, such as services liberalisation and investment rules continuing into 2008."
cassava,Different Kind of Battle,https://allafrica.com/stories/200712200324.html,Sierra Leone: Different Kind of Battle,20 December 2007,Inter Press Service,N/A,N/A,"Freetown — Sierra Leone's economy has, over the years, relied heavily on the mining sector in general and diamonds in particular. However, between 1991 and 2000 the country was comprehensively destroyed in a brutal civil war that engulfed the West African state.
Seven years after the war was declared over, the country is still struggling to reactivate economic activities from yesteryear -- despite praise from the World Bank and the International Monetary Fund for its economic progress during the post-conflict transition."
cassava,Group Debunks Myth of Urban Attraction By Sticking to Land,https://allafrica.com/stories/200712200247.html,Kenya: Group Debunks Myth of Urban Attraction By Sticking to Land,20 December 2007,The Nation (Nairobi),N/A,N/A,"Nairobi — Simon Ouma is one of the few Kenyans who detest rural-urban migration by those in search of white-collar jobs.
The 28-year-old Siaya farmer can comfortably take care of his family, thanks to a project he and others started two years ago."
cassava;sorghum,Famine to Hit 11 Districts,https://allafrica.com/stories/200712200680.html,Uganda: Famine to Hit 11 Districts,19 December 2007,New Vision (Kampala),N/A,N/A,"Kampala — ELEVEN districts in northern and north-eastern Uganda face imminent famine, threatening the lives of over 1.5 million people. Experts attributed the situation on the floods that ravaged the region late this year and the drought which is expected to strike the region early next year.
The experts also blamed insecurity in Gulu, Pader, Kitgum and Amuru for the famine, saying the people were unable to tend their gardens."
